Member State,Product desc,country_3,Timestamp,Price,cluster_cows,cluster_costs,cluster_all
Denmark,SMP,DNK,2006,210.84595833333333,0,1,1
Belgium,Gouda,BEL,2006,325.2083333333333,0,2,1
Sweden,Raw Milk,SWE,2006,28.653333333333332,2,1,2
France,Whey Powder,FRA,2006,71.87569166666667,0,2,1
Czechia,Emmental,CZE,2006,411.360125,1,2,0
Spain,Emmental,ESP,2006,760.6629666666666,0,1,2
Poland,Edam,POL,2007,339.328375,2,2,2
Belgium,Butter,BEL,2007,338.48625,0,2,1
Spain,Edam,ESP,2007,617.24,0,1,2
Germany,Gouda,DEU,2007,325.79583333333335,0,2,1
Spain,Emmental,ESP,2007,757.33,0,1,2
Latvia,Edam,LVA,2007,333.3004583333333,1,1,0
Spain,Raw Milk,ESP,2007,35.347500000000004,0,1,2
Netherlands,Whey Powder,NLD,2007,100.392225,0,1,1
Netherlands,Gouda,NLD,2007,307.25,0,1,1
Belgium,Cheddar,BEL,2007,359.67833333333334,0,2,1
Luxembourg,Raw Milk,LUX,2007,36.07666666666667,0,2,1
Latvia,Butter,LVA,2007,327.80525,1,1,0
Latvia,SMP,LVA,2007,289.73266666666666,1,1,0
Belgium,Raw Milk,BEL,2007,34.62833333333334,0,2,1
Belgium,WMP,BEL,2007,347.27791666666667,0,2,1
Ireland,Raw Milk,IRL,2007,34.946666666666665,0,2,1
Hungary,Raw Milk,HUN,2007,28.275833333333335,1,0,0
Hungary,Butter,HUN,2007,380.474625,1,0,0
Germany,SMP,DEU,2007,326.09166666666664,0,2,1
Netherlands,Raw Milk,NLD,2007,32.8225,0,1,1
Netherlands,SMP,NLD,2007,316.50416666666666,0,1,1
Netherlands,WMP,NLD,2007,332.75555833333334,0,1,1
Netherlands,Edam,NLD,2007,307.0,0,1,1
Ireland,Butter,IRL,2007,305.88595833333335,0,2,1
Germany,WMP,DEU,2007,340.5,0,2,1
Austria,Gouda,AUT,2007,390.75,2,2,2
Poland,Butter,POL,2007,301.2194583333333,2,2,2
Bulgaria,Raw Milk,BGR,2007,25.048333333333332,1,0,0
Lithuania,Raw Milk,LTU,2007,24.355,1,2,0
Italy,Butter,ITA,2007,393.6667,0,1,1
Ireland,Butter Oil,IRL,2007,377.65845833333333,0,2,1
Belgium,SMP,BEL,2007,324.14833333333337,0,2,1
Netherlands,Butter,NLD,2007,337.9486083333333,0,1,1
Belgium,Gouda,BEL,2007,358.5,0,2,1
Latvia,Raw Milk,LVA,2007,26.60363636363636,1,1,0
Ireland,SMP,IRL,2007,297.9957083333333,0,2,1
Austria,Raw Milk,AUT,2007,34.200909090909086,2,2,2
Lithuania,Gouda,LTU,2007,281.9320416666667,1,2,0
Germany,Raw Milk,DEU,2007,32.625,0,2,1
Hungary,SMP,HUN,2007,405.1666666666667,1,0,0
Ireland,WMP,IRL,2007,318.2853333333333,0,2,1
Italy,Raw Milk,ITA,2007,34.37,0,1,1
Germany,Whey Powder,DEU,2007,98.61666666666667,0,2,1
Ireland,Cheddar,IRL,2007,286.93266666666665,0,2,1
Spain,Butter,ESP,2007,249.393,0,1,2
Belgium,Butter Oil,BEL,2007,418.3333333333333,0,2,1
Latvia,WMP,LVA,2007,302.672125,1,1,0
France,Raw Milk,FRA,2007,31.522499999999997,0,2,1
Denmark,Raw Milk,DNK,2007,31.650000000000002,0,1,1
Austria,Edam,AUT,2007,325.2333333333333,2,2,2
Poland,SMP,POL,2007,293.318,2,2,2
Poland,Whey Powder,POL,2007,96.71458333333334,2,2,2
France,Emmental,FRA,2007,431.6844444444444,0,2,1
Finland,Butter,FIN,2007,278.33633333333336,2,0,2
Slovenia,Emmental,SVN,2007,532.869875,2,2,2
Finland,Edam,FIN,2007,434.7481666666667,2,0,2
France,Butter,FRA,2007,324.375,0,2,1
Estonia,Raw Milk,EST,2007,27.14272727272727,1,1,0
Denmark,Butter,DNK,2007,330.80739166666666,0,1,1
Finland,Emmental,FIN,2007,355.86133333333333,2,0,2
Germany,Butter,DEU,2007,349.08575,0,2,1
Germany,Edam,DEU,2007,323.5833333333333,0,2,1
France,WMP,FRA,2007,339.3125,0,2,1
Finland,Raw Milk,FIN,2007,38.09583333333333,2,0,2
Sweden,Raw Milk,SWE,2007,31.3025,2,1,2
Poland,WMP,POL,2007,312.6078333333333,2,2,2
Poland,Gouda,POL,2007,340.7391666666667,2,2,2
Slovenia,Gouda,SVN,2007,449.03191666666663,2,2,2
Czechia,Emmental,CZE,2007,434.992725,1,2,0
Czechia,Raw Milk,CZE,2007,29.478333333333335,1,2,0
Portugal,Raw Milk,PRT,2007,31.65833333333333,2,1,2
Sweden,WMP,SWE,2007,356.061,2,1,2
Czechia,Edam,CZE,2007,363.5242666666666,1,2,0
France,Whey Powder,FRA,2007,96.86874999999999,0,2,1
Sweden,SMP,SWE,2007,275.4643,2,1,2
Denmark,WMP,DNK,2007,300.5158666666667,0,1,1
Estonia,Edam,EST,2007,353.94216666666665,1,1,0
Czechia,Butter,CZE,2007,311.9644583333333,1,2,0
Slovenia,Raw Milk,SVN,2007,28.030833333333334,2,2,2
France,SMP,FRA,2007,327.84166666666664,0,2,1
Portugal,Butter,PRT,2007,281.0586666666666,2,1,2
Denmark,SMP,DNK,2007,305.1818916666667,0,1,1
Germany,Emmental,DEU,2007,459.97499999999997,0,2,1
Czechia,SMP,CZE,2007,270.4700833333333,1,2,0
Poland,Raw Milk,POL,2007,29.545,2,2,2
Slovenia,Edam,SVN,2007,378.141375,2,2,2
Czechia,WMP,CZE,2007,303.24258333333336,1,2,0
Latvia,Raw Milk,LVA,2008,27.635833333333334,1,1,0
Portugal,Butter,PRT,2008,251.99155833333336,2,1,2
Germany,Whey Powder,DEU,2008,41.81666666666667,0,2,1
Slovenia,Raw Milk,SVN,2008,32.9775,2,2,2
Poland,Whey Powder,POL,2008,41.49795833333334,2,2,2
Czechia,Emmental,CZE,2008,438.32170833333333,1,2,0
Lithuania,Raw Milk,LTU,2008,25.450833333333335,1,2,0
Belgium,WMP,BEL,2008,277.8666666666667,0,2,1
Belgium,Raw Milk,BEL,2008,32.03,0,2,1
Netherlands,SMP,NLD,2008,212.50833333333333,0,1,1
Ireland,Butter,IRL,2008,246.74816666666666,0,2,1
Denmark,Butter,DNK,2008,347.46795833333334,0,1,1
Netherlands,WMP,NLD,2008,269.3041666666667,0,1,1
Austria,Raw Milk,AUT,2008,38.835,2,2,2
France,Butter,FRA,2008,260.46666666666664,0,2,1
Spain,Butter,ESP,2008,250.22154166666667,0,1,2
Hungary,WMP,HUN,2008,298.00917142857145,1,0,0
Hungary,SMP,HUN,2008,381.45016999999996,1,0,0
Czechia,Edam,CZE,2008,401.08758333333327,1,2,0
France,Emmental,FRA,2008,493.36999999999995,0,2,1
France,Raw Milk,FRA,2008,36.3075,0,2,1
